File,Database_Code
Lenaite__0006082.cif,amcsd 0006082
Linnaeite__0015751.cif,amcsd 0015751
Linnaeite__0017957.cif,amcsd 0017957
Lisiguangite__0011980.cif,amcsd 0011980
Litochlebite__0018384.cif,amcsd 0018384
Liveingite__0009266.cif,amcsd 0009266
Liveingite__0021363.cif,amcsd 0021363
Liveingite__0021365.cif,amcsd 0021365
Livingstonite__0010580.cif,amcsd 0010580
Livingstonite__0010773.cif,amcsd 0010773
Livingstonite__0020982.cif,amcsd 0020982
Luberoite__0014140.cif,amcsd 0014140
Lukkulaisvaaraite__0020606.cif,amcsd 0020606
Luzonite__0010631.cif,amcsd 0010631
Luzonite__0011107.cif,amcsd 0011107
Mackinawite__0014518.cif,amcsd 0014518
Manganoquadratite__0019063.cif,amcsd 0019063
Marcasite__0000008.cif,amcsd 0000008
Marcasite__0012726.cif,amcsd 0012726
Marcasite__0012727.cif,amcsd 0012727
Marcasite__0017921.cif,amcsd 0017921
Marrite__0010652.cif,amcsd 0010652
Marrucciite__0007219.cif,amcsd 0007219
Marrucciite__0019228.cif,amcsd 0019228
Maslovite__0001277.cif,amcsd 0001277
Matildite__0009218.cif,amcsd 0009218
Mattagamite__0015752.cif,amcsd 0015752
Mawsonite__0005128.cif,amcsd 0005128
Mckinstryite__0014598.cif,amcsd 0014598
Melonite__0000033.cif,amcsd 0000033
Melonite__0011792.cif,amcsd 0011792
Menchettiite__0018781.cif,amcsd 0018781
Menchettiite__0018782.cif,amcsd 0018782
Meneghinite__0010585.cif,amcsd 0010585
Merenskyite__0011794.cif,amcsd 0011794
Metacinnabar__0011526.cif,amcsd 0011526
Metacinnabar__0018202.cif,amcsd 0018202
Mgriite__0005251.cif,amcsd 0005251
Miargyrite__0002822.cif,amcsd 0002822
Miargyrite__0009285.cif,amcsd 0009285
Miargyrite__0014529.cif,amcsd 0014529
Michenerite__0005092.cif,amcsd 0005092
Miharaite__0012478.cif,amcsd 0012478
Millerite__0005097.cif,amcsd 0005097
Millerite__0005098.cif,amcsd 0005098
Millerite__0017358.cif,amcsd 0017358
Millerite__0017942.cif,amcsd 0017942
Milotaite__0006003.cif,amcsd 0006003
Milotaite__0014014.cif,amcsd 0014014
Molybdenite__0009788.cif,amcsd 0009788
Molybdenite__0009789.cif,amcsd 0009789
Molybdenite__0011823.cif,amcsd 0011823
