File,Database_Code,Category
ClathrateI_all_CollCode205229.cif,ICSD 205229,6c-16i-24k
ClathrateI_all_CollCode205230.cif,ICSD 205230,6c-16i-24k
ClathrateI_all_CollCode205231.cif,ICSD 205231,6c-16i-24k
ClathrateI_all_CollCode205377.cif,ICSD 205377,6c-16i-24k
ClathrateI_all_CollCode205378.cif,ICSD 205378,6c-16i-24k
ClathrateI_all_CollCode205379.cif,ICSD 205379,6c-16i-24k
ClathrateI_all_CollCode205380.cif,ICSD 205380,6c-16i-24k
ClathrateI_all_CollCode205383.cif,ICSD 205383,6c-16i-24k
ClathrateI_all_CollCode205396.cif,ICSD 205396,6c-16i-24k
ClathrateI_all_CollCode206074.cif,ICSD 206074,6c-16i-24k
ClathrateI_all_CollCode206075.cif,ICSD 206075,6c-16i-24k
ClathrateI_all_CollCode206076.cif,ICSD 206076,6c-16i-24k
ClathrateI_all_CollCode213985.cif,ICSD 213985,6c-16i-24k
ClathrateI_all_CollCode213986.cif,ICSD 213986,6c-16i-24k
ClathrateI_all_CollCode213987.cif,ICSD 213987,6c-16i-24k
ClathrateI_all_CollCode213988.cif,ICSD 213988,6c-16i-24k
ClathrateI_all_CollCode235859.cif,ICSD 235859,6c-16i-24k
ClathrateI_all_CollCode236973.cif,ICSD 236973,6c-16i-24k
ClathrateI_all_CollCode236974.cif,ICSD 236974,6c-16i-24k
ClathrateI_all_CollCode237576.cif,ICSD 237576,6c-16i-24k
ClathrateI_all_CollCode237577.cif,ICSD 237577,6c-16i-24k
ClathrateI_all_CollCode237578.cif,ICSD 237578,6c-16i-24k
ClathrateI_all_CollCode237579.cif,ICSD 237579,6c-16i-24k
ClathrateI_all_CollCode237925.cif,ICSD 237925,6c-16i-24k
ClathrateI_all_CollCode237926.cif,ICSD 237926,6c-16i-24k
ClathrateI_all_CollCode237927.cif,ICSD 237927,6c-16i-24k
ClathrateI_all_CollCode237928.cif,ICSD 237928,6c-16i-24k
ClathrateI_all_CollCode237929.cif,ICSD 237929,6c-16i-24k
ClathrateI_all_CollCode237930.cif,ICSD 237930,6c-16i-24k
ClathrateI_all_CollCode238319.cif,ICSD 238319,6c-16i-24k
ClathrateI_all_CollCode238335.cif,ICSD 238335,6c-16i-24k
ClathrateI_all_CollCode238551.cif,ICSD 238551,6c-16i-24k
ClathrateI_all_CollCode238552.cif,ICSD 238552,6c-16i-24k
ClathrateI_all_CollCode238772.cif,ICSD 238772,6c-16i-24k
ClathrateI_all_CollCode240476.cif,ICSD 240476,6c-16i-24k
ClathrateI_all_CollCode245069.cif,ICSD 245069,6c-16i-24k
ClathrateI_all_CollCode245070.cif,ICSD 245070,6c-16i-24k
ClathrateI_all_CollCode245071.cif,ICSD 245071,6c-16i-24k
ClathrateI_all_CollCode245072.cif,ICSD 245072,6c-16i-24k
ClathrateI_all_CollCode246408.cif,ICSD 246408,6c-16i-24k
ClathrateI_all_CollCode246409.cif,ICSD 246409,6c-16i-24k
ClathrateI_all_CollCode246410.cif,ICSD 246410,6c-16i-24k
ClathrateI_all_CollCode246931.cif,ICSD 246931,6c-16i-24k
ClathrateI_all_CollCode247638.cif,ICSD 247638,6c-16i-24k
ClathrateI_all_CollCode247639.cif,ICSD 247639,6c-16i-24k
ClathrateI_all_CollCode247640.cif,ICSD 247640,6c-16i-24k
ClathrateI_all_CollCode247641.cif,ICSD 247641,6c-16i-24k
ClathrateI_all_CollCode247642.cif,ICSD 247642,6c-16i-24k
ClathrateI_all_CollCode248148.cif,ICSD 248148,6c-16i-24k
ClathrateI_all_CollCode248168.cif,ICSD 248168,6c-16i-24k
ClathrateI_all_CollCode248170.cif,ICSD 248170,6c-16i-24k
ClathrateI_all_CollCode248172.cif,ICSD 248172,6c-16i-24k
ClathrateI_all_CollCode248174.cif,ICSD 248174,6c-16i-24k
ClathrateI_all_CollCode248176.cif,ICSD 248176,6c-16i-24k
ClathrateI_all_CollCode248178.cif,ICSD 248178,6c-16i-24k
ClathrateI_all_CollCode248180.cif,ICSD 248180,6c-16i-24k
ClathrateI_all_CollCode248182.cif,ICSD 248182,6c-16i-24k
ClathrateI_all_CollCode248184.cif,ICSD 248184,6c-16i-24k
ClathrateI_all_CollCode248186.cif,ICSD 248186,6c-16i-24k
ClathrateI_all_CollCode248188.cif,ICSD 248188,6c-16i-24k
ClathrateI_all_CollCode248190.cif,ICSD 248190,6c-16i-24k
ClathrateI_all_CollCode248882.cif,ICSD 248882,6c-16i-24k
ClathrateI_all_CollCode248883.cif,ICSD 248883,6c-16i-24k
ClathrateI_all_CollCode248884.cif,ICSD 248884,6c-16i-24k
ClathrateI_all_CollCode248894.cif,ICSD 248894,6c-16i-24k
ClathrateI_all_CollCode249419.cif,ICSD 249419,6c-16i-24k
ClathrateI_all_CollCode249420.cif,ICSD 249420,6c-16i-24k
ClathrateI_all_CollCode25062.cif,ICSD 25062,6c-16i-24k
ClathrateI_all_CollCode251842.cif,ICSD 251842,6c-16i-24k
ClathrateI_all_CollCode251843.cif,ICSD 251843,6c-16i-24k
ClathrateI_all_CollCode251844.cif,ICSD 251844,6c-16i-24k
ClathrateI_all_CollCode251845.cif,ICSD 251845,6c-16i-24k
ClathrateI_all_CollCode251846.cif,ICSD 251846,6c-16i-24k
ClathrateI_all_CollCode25301.cif,ICSD 25301,6c-16i-24k
ClathrateI_all_CollCode253319.cif,ICSD 253319,6c-16i-24k
ClathrateI_all_CollCode253320.cif,ICSD 253320,6c-16i-24k
ClathrateI_all_CollCode253321.cif,ICSD 253321,6c-16i-24k
ClathrateI_all_CollCode25413.cif,ICSD 25413,6c-16i-24k
ClathrateI_all_CollCode260195.cif,ICSD 260195,6c-16i-24k
ClathrateI_all_CollCode261319.cif,ICSD 261319,6c-16i-24k
ClathrateI_all_CollCode261604.cif,ICSD 261604,6c-16i-24k
ClathrateI_all_CollCode261605.cif,ICSD 261605,6c-16i-24k
ClathrateI_all_CollCode261606.cif,ICSD 261606,6c-16i-24k
ClathrateI_all_CollCode261607.cif,ICSD 261607,6c-16i-24k
ClathrateI_all_CollCode262553.cif,ICSD 262553,6c-16i-24k
ClathrateI_all_CollCode262554.cif,ICSD 262554,6c-16i-24k
ClathrateI_all_CollCode26299.cif,ICSD 26299,6c-16i-24k
ClathrateI_all_CollCode26300.cif,ICSD 26300,6c-16i-24k
ClathrateI_all_CollCode263104.cif,ICSD 263104,6c-16i-24k
ClathrateI_all_CollCode263105.cif,ICSD 263105,6c-16i-24k
ClathrateI_all_CollCode263106.cif,ICSD 263106,6c-16i-24k
ClathrateI_all_CollCode263107.cif,ICSD 263107,6c-16i-24k
ClathrateI_all_CollCode263108.cif,ICSD 263108,6c-16i-24k
ClathrateI_all_CollCode280003.cif,ICSD 280003,6c-16i-24k
ClathrateI_all_CollCode28122.cif,ICSD 28122,6c-16i-24k
ClathrateI_all_CollCode28123.cif,ICSD 28123,6c-16i-24k
ClathrateI_all_CollCode281412.cif,ICSD 281412,6c-16i-24k
ClathrateI_all_CollCode281413.cif,ICSD 281413,6c-16i-24k
ClathrateI_all_CollCode31794.cif,ICSD 31794,6c-16i-24k
ClathrateI_all_CollCode31802.cif,ICSD 31802,6c-16i-24k
ClathrateI_all_CollCode31803.cif,ICSD 31803,6c-16i-24k
ClathrateI_all_CollCode31804.cif,ICSD 31804,6c-16i-24k
ClathrateI_all_CollCode31805.cif,ICSD 31805,6c-16i-24k
ClathrateI_all_CollCode31806.cif,ICSD 31806,6c-16i-24k
ClathrateI_all_CollCode31807.cif,ICSD 31807,6c-16i-24k
ClathrateI_all_CollCode380509.cif,ICSD 380509,6c-16i-24k
ClathrateI_all_CollCode380510.cif,ICSD 380510,6c-16i-24k
